date,total_balance_normal,unlocked_balance_normal,benchmark
2025-04-22T07:10:00.000+0000,1000000.0,1000000.0,999999.9999999998
2025-04-22T07:20:00.000+0000,999989.9057111148,998546.7000999948,1002271.4948982242
2025-04-22T07:30:00.000+0000,999977.2525417547,998546.7000999948,1005176.9745024994
2025-04-22T07:40:00.000+0000,999977.2525417547,998546.7000999948,1009283.7054123362
2025-04-22T07:50:00.000+0000,999975.7639335948,998546.7000999948,1010184.1032104173
2025-04-22T08:00:00.000+0000,999964.5993723947,998546.7000999948,1011868.0439478583
2025-04-22T08:10:00.000+0000,999970.5538050347,998546.7000999948,1012601.9718065601
2025-04-22T08:20:00.000+0000,999973.5310213547,998546.7000999948,1009628.1361069193
2025-04-22T08:30:00.000+0000,999985.4398866348,998546.7000999948,1009589.62743125
2025-04-22T08:40:00.000+0000,999986.9284947948,998546.7000999948,1009874.305121203
2025-04-22T08:50:00.000+0000,999986.9284947948,998546.7000999948,1010476.1341410987
2025-04-22T09:00:00.000+0000,999987.6727988748,998546.7000999948,1010599.740840767
2025-04-22T09:10:00.000+0000,999983.2069743947,998546.7000999948,1009026.6419573491
2025-04-22T09:20:00.000+0000,999984.6955825548,998546.7000999948,1010121.0992656508
2025-04-22T09:30:00.000+0000,999989.1614070347,998546.7000999948,1010471.0276551112
2025-04-22T09:40:00.000+0000,999992.1386233548,998546.7000999948,1011863.7013300845
2025-04-22T09:50:00.000+0000,999996.6044478348,998546.7000999948,1010896.7001414605
2025-04-22T10:00:00.000+0000,999998.8373600747,998546.7000999948,1011363.6076114045
2025-04-22T10:10:00.000+0000,999999.5816641548,998546.7000999948,1011563.5111558695
2025-04-22T10:20:00.000+0000,999999.5816641548,998546.7000999948,1007872.5470575003
2025-04-22T10:30:00.000+0000,999995.8601437547,998546.7000999948,1009368.1558431349
2025-04-22T10:40:00.000+0000,999995.8601437547,998546.7000999948,1012202.1408963939
2025-04-22T10:50:00.000+0000,999995.1158396748,998546.7000999948,1012153.1602677122
2025-04-22T11:00:00.000+0000,999993.6272315148,998546.7000999948,1012431.5180900423
2025-04-22T11:10:00.000+0000,999992.8829274348,998546.7000999948,1012758.3139301157
2025-04-22T11:20:00.000+0000,999989.1614070347,998546.7000999948,1014386.3346523584
2025-04-22T11:30:00.000+0000,999980.9740621548,998546.7000999948,1014197.8234826536
2025-04-22T11:40:00.000+0000,999962.3664601548,998546.7000999948,1013607.1063397218
2025-04-22T11:50:00.000+0000,999960.1335479148,998546.7000999948,1014694.7639812279
2025-04-22T12:00:00.000+0000,999972.7867172748,998546.7000999948,1013813.4315187111
2025-04-22T12:10:00.000+0000,999974.2753254347,998546.7000999948,1014794.4979436352
2025-04-22T12:20:00.000+0000,999960.1335479148,998546.7000999948,1014684.8769369881
2025-04-22T12:30:00.000+0000,999960.8778519948,998546.7000999948,1016067.2641035501
2025-04-22T12:40:00.000+0000,999956.4120275148,998546.7000999948,1013775.5168984252
2025-04-22T12:50:00.000+0000,999951.9462030347,998546.7000999948,1018429.1207710679
2025-04-22T13:00:00.000+0000,999959.3892438348,998546.7000999948,1019732.6806957223
2025-04-22T13:10:00.000+0000,999953.4348111948,998546.7000999948,1023525.7026319685
2025-04-22T13:20:00.000+0000,999950.4575948748,998546.7000999948,1022921.4940576173
2025-04-22T13:30:00.000+0000,999960.1335479148,998546.7000999948,1022216.3123258245
2025-04-22T13:40:00.000+0000,999946.7360744748,998546.7000999948,1026601.0899687025
2025-04-22T13:50:00.000+0000,999958.6449397547,998546.7000999948,1025839.7427290964
2025-04-22T14:00:00.000+0000,999960.8778519948,998546.7000999948,1027429.8421543429
2025-04-22T14:10:00.000+0000,999948.9689867147,998546.7000999948,1032312.551475479
2025-04-22T14:20:00.000+0000,999954.9234193548,998546.7000999948,1030652.5635055823
2025-04-22T14:30:00.000+0000,999951.2018989548,998546.7000999948,1031210.7244523028
2025-04-22T14:40:00.000+0000,999950.4575948748,998546.7000999948,1034801.0155680646
2025-04-22T14:50:00.000+0000,999954.9234193548,998546.7000999948,1037917.0272962519
2025-04-22T15:00:00.000+0000,999942.2702499948,998546.7000999948,1045712.5510695621
2025-04-22T15:10:00.000+0000,999936.3158173548,998546.7000999948,1052477.7959602734
2025-04-22T15:20:00.000+0000,999927.3841683947,998546.7000999948,1051194.3411570583
2025-04-22T15:30:00.000+0000,999937.8044255148,998546.7000999948,1045723.1027780494
2025-04-22T15:40:00.000+0000,999945.9917703947,998546.7000999948,1042493.5307959991
2025-04-22T15:50:00.000+0000,999932.5942969548,998546.7000999948,1045946.9721126329
2025-04-22T16:00:00.000+0000,999900.5892215148,998546.7000999948,1050210.2503057504
2025-04-22T16:10:00.000+0000,999922.9183439148,998546.7000999948,1045173.4709617485
2025-04-22T16:20:00.000+0000,999912.4980867947,998546.7000999948,1047026.6366253647
2025-04-22T16:30:00.000+0000,999919.1968235148,998546.7000999948,1047492.6429103686
2025-04-22T16:40:00.000+0000,999916.9639112748,998546.7000999948,1045128.2830379833
2025-04-22T16:50:00.000+0000,999925.1512561548,998546.7000999948,1044496.5442252544
2025-04-22T17:00:00.000+0000,999923.6626479948,998546.7000999948,1047398.3917919225
2025-04-22T17:10:00.000+0000,999924.4069520747,998546.7000999948,1043898.5234011484
2025-04-22T17:20:00.000+0000,999925.1512561548,998546.7000999948,1044561.5251722807
2025-04-22T17:30:00.000+0000,999918.4525194347,998546.7000999948,1046248.4386631129
2025-04-22T17:40:00.000+0000,999919.9411275948,998546.7000999948,1046913.6596490333
2025-04-22T17:50:00.000+0000,999892.4018766348,998546.7000999948,1048379.5315508645
2025-04-22T18:00:00.000+0000,999790.4322176748,998546.7000999948,1050200.145056452
2025-04-22T18:10:00.000+0000,999787.4550013548,998546.7000999948,1049248.5232818613
