date,total_balance_normal,unlocked_balance_normal,benchmark
2025-01-26T23:50:00.000+0000,1000000.0,1000000.0,999999.9999999999
2025-01-27T00:00:00.000+0000,999992.0611599999,990076.45,999999.9999999999
2025-01-27T00:10:00.000+0000,999992.0611599999,990076.45,999999.9999999999
2025-01-27T00:20:00.000+0000,999992.0611599999,990076.45,999999.9999999999
2025-01-27T00:30:00.000+0000,999992.0611599999,990076.45,999999.9999999999
2025-01-27T00:40:00.000+0000,999992.0611599999,990076.45,999999.9999999999
2025-01-27T00:50:00.000+0000,999992.0611599999,990076.45,999999.9999999999
2025-01-27T01:00:00.000+0000,999992.0611599999,990076.45,999999.9999999999
2025-01-27T01:10:00.000+0000,999992.0611599999,990076.45,999999.9999999999
2025-01-27T01:20:00.000+0000,999992.0611599999,990076.45,999999.9999999999
2025-01-27T01:30:00.000+0000,999992.0611599999,990076.45,999999.9999999999
2025-01-27T01:40:00.000+0000,999992.0611599999,990076.45,999999.9999999999
2025-01-27T01:50:00.000+0000,999992.0611599999,990076.45,999999.9999999999
2025-01-27T02:00:00.000+0000,999957.8247964799,947280.9955999999,999999.9999999999
2025-01-27T02:10:00.000+0000,999957.8247964799,947280.9955999999,999999.9999999999
2025-01-27T02:20:00.000+0000,999957.8247964799,947280.9955999999,999999.9999999999
2025-01-27T02:30:00.000+0000,999957.8247964799,947280.9955999999,999999.9999999999
2025-01-27T02:40:00.000+0000,999957.8247964799,947280.9955999999,999999.9999999999
2025-01-27T02:50:00.000+0000,999957.8247964799,947280.9955999999,999999.9999999999
2025-01-27T03:00:00.000+0000,999957.8247964799,947280.9955999999,999999.9999999999
2025-01-27T03:10:00.000+0000,999957.8247964799,947280.9955999999,999999.9999999999
2025-01-27T03:20:00.000+0000,999957.8247964799,947280.9955999999,999999.9999999999
2025-01-27T03:30:00.000+0000,999957.8247964799,947280.9955999999,999999.9999999999
2025-01-27T03:40:00.000+0000,999957.8247964799,947280.9955999999,999999.9999999999
2025-01-27T03:50:00.000+0000,999957.8247964799,947280.9955999999,999999.9999999999
2025-01-27T04:00:00.000+0000,999957.8247964799,947280.9955999999,999999.9999999999
2025-01-27T04:10:00.000+0000,999957.8247964799,947280.9955999999,999999.9999999999
2025-01-27T04:20:00.000+0000,999957.8247964799,947280.9955999999,999999.9999999999
2025-01-27T04:30:00.000+0000,999957.8247964799,947280.9955999999,999999.9999999999
2025-01-27T04:40:00.000+0000,999957.8247964799,947280.9955999999,999999.9999999999
2025-01-27T04:50:00.000+0000,999957.8247964799,947280.9955999999,999999.9999999999
2025-01-27T05:00:00.000+0000,999957.8247964799,947280.9955999999,999999.9999999999
2025-01-27T05:10:00.000+0000,999957.8247964799,947280.9955999999,999999.9999999999
2025-01-27T05:20:00.000+0000,999957.8247964799,947280.9955999999,999999.9999999999
2025-01-27T05:30:00.000+0000,999957.8247964799,947280.9955999999,999999.9999999999
2025-01-27T05:40:00.000+0000,999957.8247964799,947280.9955999999,999999.9999999999
2025-01-27T05:50:00.000+0000,999957.8247964799,947280.9955999999,999999.9999999999
2025-01-27T06:00:00.000+0000,999957.8247964799,947280.9955999999,999999.9999999999
2025-01-27T06:10:00.000+0000,999957.8247964799,947280.9955999999,999999.9999999999
2025-01-27T06:20:00.000+0000,999957.8247964799,947280.9955999999,999999.9999999999
2025-01-27T06:30:00.000+0000,999957.8247964799,947280.9955999999,999999.9999999999
2025-01-27T06:40:00.000+0000,999957.8247964799,947280.9955999999,999999.9999999999
2025-01-27T06:50:00.000+0000,999957.8247964799,947280.9955999999,999999.9999999999
2025-01-27T07:00:00.000+0000,999957.8247964799,947280.9955999999,999999.9999999999
2025-01-27T07:10:00.000+0000,999957.8247964799,947280.9955999999,999999.9999999999
2025-01-27T07:20:00.000+0000,999900.8076208797,876009.5260999998,999999.9999999999
2025-01-27T07:30:00.000+0000,999900.8076208797,876009.5260999998,999999.9999999999
2025-01-27T07:40:00.000+0000,999900.8076208797,876009.5260999998,999999.9999999999
2025-01-27T07:50:00.000+0000,999900.8076208797,876009.5260999998,999999.9999999999
2025-01-27T08:00:00.000+0000,999900.8076208797,876009.5260999998,999999.9999999999
2025-01-27T08:10:00.000+0000,999900.8076208797,876009.5260999998,999999.9999999999
2025-01-27T08:20:00.000+0000,999900.8076208797,876009.5260999998,999999.9999999999
2025-01-27T08:30:00.000+0000,999900.8076208797,876009.5260999998,999999.9999999999
2025-01-27T08:40:00.000+0000,999900.8076208797,876009.5260999998,999999.9999999999
2025-01-27T08:50:00.000+0000,999900.8076208797,876009.5260999998,999999.9999999999
2025-01-27T09:00:00.000+0000,999900.8076208797,876009.5260999998,999999.9999999999
2025-01-27T09:10:00.000+0000,999900.8076208797,876009.5260999998,999999.9999999999
2025-01-27T09:20:00.000+0000,999900.8076208797,876009.5260999998,999999.9999999999
2025-01-27T09:30:00.000+0000,999900.8076208797,876009.5260999998,999999.9999999999
2025-01-27T09:40:00.000+0000,999900.8076208797,876009.5260999998,999999.9999999999
2025-01-27T09:50:00.000+0000,999900.8076208797,876009.5260999998,999999.9999999999
2025-01-27T10:00:00.000+0000,999900.8076208797,876009.5260999998,999999.9999999999
2025-01-27T10:10:00.000+0000,999900.8076208797,876009.5260999998,999999.9999999999
2025-01-27T10:20:00.000+0000,999900.8076208797,876009.5260999998,999999.9999999999
2025-01-27T10:30:00.000+0000,999900.8076208797,876009.5260999998,999999.9999999999
2025-01-27T10:40:00.000+0000,999900.8076208797,876009.5260999998,999999.9999999999
2025-01-27T10:50:00.000+0000,999900.8076208797,876009.5260999998,999999.9999999999
2025-01-27T11:00:00.000+0000,999900.8076208797,876009.5260999998,999999.9999999999
2025-01-27T11:10:00.000+0000,999900.8076208797,876009.5260999998,999999.9999999999
2025-01-27T11:20:00.000+0000,999900.8076208797,876009.5260999998,999999.9999999999
2025-01-27T11:30:00.000+0000,999900.8076208797,876009.5260999998,999999.9999999999
2025-01-27T11:40:00.000+0000,999900.8076208797,876009.5260999998,999999.9999999999
2025-01-27T11:50:00.000+0000,999900.8076208797,876009.5260999998,999999.9999999999
2025-01-27T12:00:00.000+0000,999900.8076208797,876009.5260999998,999999.9999999999
2025-01-27T12:10:00.000+0000,999900.8076208797,876009.5260999998,999999.9999999999
2025-01-27T12:20:00.000+0000,999900.8076208797,876009.5260999998,999999.9999999999
2025-01-27T12:30:00.000+0000,999900.8076208797,876009.5260999998,999999.9999999999
2025-01-27T12:40:00.000+0000,999900.8076208797,876009.5260999998,999999.9999999999
2025-01-27T12:50:00.000+0000,999900.8076208797,876009.5260999998,999999.9999999999
2025-01-27T13:00:00.000+0000,999900.8076208797,876009.5260999998,999999.9999999999
2025-01-27T13:10:00.000+0000,999900.8076208797,876009.5260999998,999999.9999999999
2025-01-27T13:20:00.000+0000,999900.8076208797,876009.5260999998,999999.9999999999
2025-01-27T13:30:00.000+0000,999900.8076208797,876009.5260999998,999999.9999999999
2025-01-27T13:40:00.000+0000,999900.8076208797,876009.5260999998,999999.9999999999
2025-01-27T13:50:00.000+0000,999900.8076208797,876009.5260999998,999999.9999999999
2025-01-27T14:00:00.000+0000,999900.8076208797,876009.5260999998,999999.9999999999
2025-01-27T14:10:00.000+0000,999900.8076208797,876009.5260999998,999999.9999999999
2025-01-27T14:20:00.000+0000,999704.7229240797,630903.6551,999999.9999999999
2025-01-27T14:30:00.000+0000,997701.3708888799,630903.6551,999999.9999999999
2025-01-27T14:40:00.000+0000,997400.8680836,630903.6551,999999.9999999999
2025-01-27T14:50:00.000+0000,994996.8456413599,630903.6551,999999.9999999999
2025-01-27T15:00:00.000+0000,993293.9964114398,630903.6551,999999.9999999999
2025-01-27T15:10:00.000+0000,994896.6780395999,630903.6551,999999.9999999999
2025-01-27T15:20:00.000+0000,993895.0020219998,630903.6551,999999.9999999999
2025-01-27T15:30:00.000+0000,993093.6612079199,630903.6551,999999.9999999999
2025-01-27T15:40:00.000+0000,993895.0020219998,630903.6551,999999.9999999999
2025-01-27T15:50:00.000+0000,997400.8680836,630903.6551,999999.9999999999
2025-01-27T16:00:00.000+0000,993293.9964114398,630903.6551,999999.9999999999
2025-01-27T16:10:00.000+0000,989086.95713752,630903.6551,999999.9999999999
2025-01-27T16:20:00.000+0000,985003.531825744,409792.60118,999999.9999999999
2025-01-27T16:30:00.000+0000,986105.3754451039,409792.60118,999999.9999999999
2025-01-27T16:40:00.000+0000,988208.895082064,409792.60118,999999.9999999999
2025-01-27T16:50:00.000+0000,987307.3866662239,409792.60118,999999.9999999999
2025-01-27T17:00:00.000+0000,986405.8782503839,409792.60118,999999.9999999999
2025-01-27T17:10:00.000+0000,992916.7723647839,409792.60118,999999.9999999999
2025-01-27T17:20:00.000+0000,991514.425940144,409792.60118,999999.9999999999
2025-01-27T17:30:00.000+0000,992115.431550704,409792.60118,999999.9999999999
2025-01-27T17:40:00.000+0000,994619.621594704,409792.60118,999999.9999999999
2025-01-27T17:50:00.000+0000,996422.638426384,409792.60118,999999.9999999999
2025-01-27T18:00:00.000+0000,995721.4652140641,409792.60118,999999.9999999999
2025-01-27T18:10:00.000+0000,995320.794807024,409792.60118,999999.9999999999
2025-01-27T18:20:00.000+0000,996422.638426384,409792.60118,999999.9999999999
2025-01-27T18:30:00.000+0000,998225.6552580639,409792.60118,999999.9999999999
2025-01-27T18:40:00.000+0000,999327.4988774239,409792.60118,999999.9999999999
2025-01-27T18:50:00.000+0000,1000128.8396915039,409792.60118,999999.9999999999
2025-01-27T19:00:00.000+0000,999527.8340809438,409792.60118,999999.9999999999
2025-01-27T19:10:00.000+0000,999527.8340809438,409792.60118,999999.9999999999
2025-01-27T19:20:00.000+0000,998325.8228598239,409792.60118,999999.9999999999
2025-01-27T19:30:00.000+0000,1000128.8396915039,409792.60118,999999.9999999999
2025-01-27T19:40:00.000+0000,1000229.0072932639,409792.60118,999999.9999999999
2025-01-27T19:50:00.000+0000,1002332.526930224,409792.60118,999999.9999999999
2025-01-27T20:00:00.000+0000,1000229.0072932639,409792.60118,999999.9999999999
2025-01-27T20:10:00.000+0000,998626.325665104,409792.60118,999999.9999999999
2025-01-27T20:20:00.000+0000,996823.308833424,409792.60118,999999.9999999999
2025-01-27T20:30:00.000+0000,989911.7443119838,409792.60118,999999.9999999999
2025-01-27T20:40:00.000+0000,986005.207843344,409792.60118,999999.9999999999
2025-01-27T20:50:00.000+0000,984803.1966222241,409792.60118,999999.9999999999
2025-01-27T21:00:00.000+0000,978893.3081183839,409792.60118,999999.9999999999
2025-01-27T21:10:00.000+0000,977290.6264902239,409792.60118,999999.9999999999
2025-01-27T21:20:00.000+0000,980495.989746544,409792.60118,999999.9999999999
2025-01-27T21:30:00.000+0000,982799.844587024,409792.60118,999999.9999999999
2025-01-27T21:40:00.000+0000,982198.8389764639,409792.60118,999999.9999999999
2025-01-27T21:50:00.000+0000,980596.157348304,409792.60118,999999.9999999999
2025-01-27T22:00:00.000+0000,980796.4925518238,409792.60118,999999.9999999999
2025-01-27T22:10:00.000+0000,980395.8221447839,409792.60118,999999.9999999999
