date,total_balance_normal,unlocked_balance_normal,benchmark
2025-03-09T14:30:00.000+0000,1000000.0,1000000.0,999999.9999999999
2025-03-09T14:40:00.000+0000,999607.89049192,509863.1149,999999.9999999999
2025-03-09T14:50:00.000+0000,999607.89049192,509863.1149,999999.9999999999
2025-03-09T15:00:00.000+0000,999607.89049192,509863.1149,999999.9999999999
2025-03-09T15:10:00.000+0000,999607.89049192,509863.1149,999999.9999999999
2025-03-09T15:20:00.000+0000,999607.89049192,509863.1149,999999.9999999999
2025-03-09T15:30:00.000+0000,999607.89049192,509863.1149,999999.9999999999
2025-03-09T15:40:00.000+0000,999607.89049192,509863.1149,999999.9999999999
2025-03-09T15:50:00.000+0000,999607.89049192,509863.1149,999999.9999999999
2025-03-09T16:00:00.000+0000,999607.89049192,509863.1149,999999.9999999999
2025-03-09T16:10:00.000+0000,999607.89049192,509863.1149,999999.9999999999
2025-03-09T16:20:00.000+0000,999607.89049192,509863.1149,999999.9999999999
2025-03-09T16:30:00.000+0000,999607.89049192,509863.1149,999999.9999999999
2025-03-09T16:40:00.000+0000,999607.89049192,509863.1149,999999.9999999999
2025-03-09T16:50:00.000+0000,999607.89049192,509863.1149,999999.9999999999
2025-03-09T17:00:00.000+0000,999607.89049192,509863.1149,999999.9999999999
2025-03-09T17:10:00.000+0000,999607.89049192,509863.1149,999999.9999999999
2025-03-09T17:20:00.000+0000,999607.89049192,509863.1149,999999.9999999999
2025-03-09T17:30:00.000+0000,999607.89049192,509863.1149,999999.9999999999
2025-03-09T17:40:00.000+0000,999607.89049192,509863.1149,999999.9999999999
2025-03-09T17:50:00.000+0000,999607.89049192,509863.1149,999999.9999999999
2025-03-09T18:00:00.000+0000,999607.89049192,509863.1149,999999.9999999999
2025-03-09T18:10:00.000+0000,999607.89049192,509863.1149,999999.9999999999
2025-03-09T18:20:00.000+0000,999607.89049192,509863.1149,999999.9999999999
2025-03-09T18:30:00.000+0000,999607.89049192,509863.1149,999999.9999999999
2025-03-09T18:40:00.000+0000,999607.89049192,509863.1149,999999.9999999999
2025-03-09T18:50:00.000+0000,999607.89049192,509863.1149,999999.9999999999
2025-03-09T19:00:00.000+0000,999607.89049192,509863.1149,999999.9999999999
