date,total_balance_normal,unlocked_balance_normal,benchmark
2025-04-16T05:00:00.000+0000,1000000.0,1000000.0,999822.7125960627
2025-04-16T05:10:00.000+0000,1000000.0,1000000.0,999343.1370965388
2025-04-16T05:20:00.000+0000,999995.7122256,994640.282,988606.3145668193
2025-04-16T05:30:00.000+0000,999987.1440856,994640.282,987933.0567341831
2025-04-16T05:40:00.000+0000,1000020.66264928,994640.282,992322.321459811
2025-04-16T05:50:00.000+0000,1000015.35040248,994640.282,991987.5680579516
2025-04-16T06:00:00.000+0000,1000011.1348776,994640.282,990871.0006937415
2025-04-16T06:10:00.000+0000,1000011.51187576,994640.282,991235.8123399348
2025-04-16T06:20:00.000+0000,1000026.11198632,994640.282,993932.5870524884
2025-04-16T06:30:00.000+0000,1000033.89185744,994640.282,994998.208370954
2025-04-16T06:40:00.000+0000,1000040.4379164,994640.282,996016.4923692462
2025-04-16T06:50:00.000+0000,1000041.08909504,994640.282,996499.3486569041
2025-04-16T07:00:00.000+0000,1000026.0434412,994640.282,993758.9066044467
2025-04-16T07:10:00.000+0000,1000023.16454616,994640.282,992916.5422364783
2025-04-16T07:20:00.000+0000,1000007.84471184,994640.282,990119.9099442938
2025-04-16T07:30:00.000+0000,1000002.08692176,994640.282,989193.6656182811
2025-04-16T07:40:00.000+0000,1000005.71981312,994640.282,989758.9403210271
2025-04-16T07:50:00.000+0000,999993.69014456,994640.282,988383.2956948777
2025-04-16T08:00:00.000+0000,999983.51119424,994640.282,986176.1894942347
2025-04-16T08:10:00.000+0000,999975.45714264,994640.282,983846.53202534
2025-04-16T08:20:00.000+0000,999988.41217032,994640.282,985427.961183303
2025-04-16T08:30:00.000+0000,1000029.2993344,994640.282,992064.8575593049
2025-04-16T08:40:00.000+0000,1000044.34498824,994640.282,994285.3142153185
2025-04-16T08:50:00.000+0000,1000035.1256696,994640.282,992855.6739200336
2025-04-16T09:00:00.000+0000,1000034.0974928,994640.282,994032.2820087702
2025-04-16T09:10:00.000+0000,1000037.21629576,994640.282,994380.7761056148
2025-04-16T09:20:00.000+0000,1000033.78903976,994640.282,993527.6400075874
2025-04-16T09:30:00.000+0000,1000029.67633256,994640.282,993234.6276962117
2025-04-16T09:40:00.000+0000,1000012.81423304,994640.282,990463.1121784421
2025-04-16T09:50:00.000+0000,1000011.92314648,994640.282,989973.954356005
2025-04-16T10:00:00.000+0000,1000014.80204152,994640.282,990531.5286315546
2025-04-16T10:10:00.000+0000,1000027.071618,994640.282,993057.2834513427
2025-04-16T10:20:00.000+0000,1000039.61537496,994640.282,995491.6674724336
2025-04-16T10:30:00.000+0000,1000048.52624056,994640.282,996306.2359776834
2025-04-16T10:40:00.000+0000,1000048.8346936,994640.282,995954.1994437051
2025-04-16T10:50:00.000+0000,1000056.47747448,994640.282,997968.7718904072
2025-04-16T11:00:00.000+0000,1000053.66712456,994640.282,997133.3856341043
2025-04-16T11:10:00.000+0000,1000059.59627744,994640.282,997760.0471327691
2025-04-16T11:20:00.000+0000,1000048.62905824,994640.282,995217.8860426034
2025-04-16T11:30:00.000+0000,1000042.56281512,994640.282,994264.7740195005
2025-04-16T11:40:00.000+0000,1000057.02583544,994640.282,997897.1173871795
2025-04-16T11:50:00.000+0000,1000062.33808224,994640.282,999531.0130061156
2025-04-16T12:00:00.000+0000,1000065.66252056,994640.282,998964.8052216214
2025-04-16T12:10:00.000+0000,1000062.33808224,994640.282,998347.4978926515
2025-04-16T12:20:00.000+0000,1000068.67850584,994640.282,1000063.2630360189
2025-04-16T12:30:00.000+0000,1000055.6892056,994640.282,998150.9484547179
2025-04-16T12:40:00.000+0000,1000041.36327552,994640.282,995213.3011679756
2025-04-16T12:50:00.000+0000,1000041.9801816,994640.282,994833.0100066178
2025-04-16T13:00:00.000+0000,1000040.780642,994640.282,994067.339659987
2025-04-16T13:10:00.000+0000,1000027.14016312,994640.282,992288.3188373139
2025-04-16T13:20:00.000+0000,1000026.62607472,994640.282,992148.7454704674
2025-04-16T13:30:00.000+0000,1000024.53544856,994640.282,991909.0490967238
2025-04-16T13:40:00.000+0000,1000032.96649832,994640.282,995006.3112242327
2025-04-16T13:50:00.000+0000,1000009.4212496,994640.282,991103.7118897872
2025-04-16T14:00:00.000+0000,1000017.09830304,994640.282,992401.1837022855
2025-04-16T14:10:00.000+0000,1000023.16454616,994640.282,994185.7347214735
2025-04-16T14:20:00.000+0000,1000042.45999744,994640.282,998038.0872776388
2025-04-16T14:30:00.000+0000,1000078.9945464,994640.282,1003805.5794337556
2025-04-16T14:40:00.000+0000,1000078.54900312,994640.282,1004175.6704435651
2025-04-16T14:50:00.000+0000,1000083.07298104,994640.282,1006182.3495049598
2025-04-16T15:00:00.000+0000,1000076.14992392,994640.282,1007123.1887080182
2025-04-16T15:10:00.000+0000,1000083.03870848,994640.282,1008231.7758313911
2025-04-16T15:20:00.000+0000,1000098.66699584,994640.282,1010887.5427336348
2025-04-16T15:30:00.000+0000,1000112.54738264,994640.282,1012818.7933079165
2025-04-16T15:40:00.000+0000,1000091.74393872,994640.282,1010637.4743060545
2025-04-16T15:50:00.000+0000,1000082.7988005601,994640.282,1009341.2361585819
2025-04-16T16:00:00.000+0000,1000088.2481376,994640.282,1010310.1241334738
2025-04-16T16:10:00.000+0000,1000083.9640676,994640.282,1010065.9542858114
2025-04-16T16:20:00.000+0000,1000065.9709736,994640.282,1007670.9739925368
2025-04-16T16:30:00.000+0000,1000044.27644312,994640.282,1003797.8520953001
2025-04-16T16:40:00.000+0000,1000049.45159968,994640.282,1004628.554768764
2025-04-16T16:50:00.000+0000,1000069.08977656,994640.282,1008348.9597753377
2025-04-16T17:00:00.000+0000,1000094.62283376,994640.282,1013713.11975117
2025-04-16T17:10:00.000+0000,1000090.95566984,994640.282,1013120.0959609313
2025-04-16T17:20:00.000+0000,1000126.2906792,994640.282,1018951.995179056
2025-04-16T17:30:00.000+0000,1000093.35474904,994640.282,1011057.19463662
2025-04-16T17:40:00.000+0000,1000018.05793472,994640.282,996732.91835023
2025-04-16T17:50:00.000+0000,999938.7540286401,994640.282,985095.9609760526
2025-04-16T18:00:00.000+0000,999949.37722328,997277.6110475201,988326.3458170173
2025-04-16T18:10:00.000+0000,999977.1560824001,997277.6110475201,993991.6632971667
2025-04-16T18:20:00.000+0000,999979.8254452,999917.5073396,995500.0462485852
2025-04-16T18:30:00.000+0000,999979.9913124,999917.5073396,998765.9117485166
2025-04-16T18:40:00.000+0000,999979.74990568,999917.5073396,995924.9185318255
2025-04-16T18:50:00.000+0000,999979.81585288,999917.5073396,997598.515453055
2025-04-16T19:00:00.000+0000,999979.93176008,999917.5073396,1001956.888262654
2025-04-16T19:10:00.000+0000,999979.85981768,999917.5073396,1001966.6364620815
2025-04-16T19:20:00.000+0000,999979.5756452,999917.5073396,999574.7990728107
2025-04-16T19:30:00.000+0000,999979.52608488,999917.5073396,1000562.4706798047
2025-04-16T19:40:00.000+0000,999979.81705192,999917.5073396,1005283.3691444416
2025-04-16T19:50:00.000+0000,999980.81745096,999917.5073396,1018167.5120458574
2025-04-16T20:00:00.000+0000,999980.8146532,999917.5073396,1018216.7391784939
2025-04-16T20:10:00.000+0000,999980.8306404001,999917.5073396,1018921.4472258948
2025-04-16T20:20:00.000+0000,999980.90977704,999917.5073396,1019708.5454516344
2025-04-16T20:30:00.000+0000,999980.70633992,999917.5073396,1017784.1546435736
2025-04-16T20:40:00.000+0000,999980.45614024,999917.5073396,1014791.7204396355
2025-04-16T20:50:00.000+0000,999980.26669192,999917.5073396,1012527.5353184899
2025-04-16T21:00:00.000+0000,999980.28947368,999917.5073396,1012743.4388237344
2025-04-16T21:10:00.000+0000,999980.63639592,999917.5073396,1016452.0956568334
2025-04-16T21:20:00.000+0000,999980.86781064,999917.5073396,1019181.0853624137
2025-04-16T21:30:00.000+0000,999980.88979304,999917.5073396,1018565.1759174785
2025-04-16T21:40:00.000+0000,999980.9445492,999917.5073396,1018832.634478695
2025-04-16T21:50:00.000+0000,999981.05406152,999917.5073396,1020230.7765621647
2025-04-16T22:00:00.000+0000,999980.93335816,999917.5073396,1019123.999483553
2025-04-16T22:10:00.000+0000,999980.85981704,999917.5073396,1017568.8136149712
2025-04-16T22:20:00.000+0000,999980.86940936,999917.5073396,1016940.1080074473
2025-04-16T22:30:00.000+0000,999980.78028072,999917.5073396,1016460.698252243
2025-04-16T22:40:00.000+0000,999980.97132776,999917.5073396,1019145.1428881646
2025-04-16T22:50:00.000+0000,999980.9325588,999917.5073396,1018025.401753685
2025-04-16T23:00:00.000+0000,999980.7646932,999917.5073396,1015634.7657364118
2025-04-16T23:10:00.000+0000,999980.62560456,999917.5073396,1014604.4142175973
2025-04-16T23:20:00.000+0000,999980.5148932,999917.5073396,1013646.7765459495
2025-04-16T23:30:00.000+0000,999980.39019304,999917.5073396,1010804.2448952061
2025-04-16T23:40:00.000+0000,999980.40777896,999917.5073396,1010749.531689015
2025-04-16T23:50:00.000+0000,999980.5208884,999917.5073396,1012210.1124989019
2025-04-17T00:00:00.000+0000,999980.49770696,999917.5073396,1010744.4339368579
2025-04-17T00:10:00.000+0000,999980.5368756,999917.5073396,1011406.2742329914
2025-04-17T00:20:00.000+0000,999980.48611624,999917.5073396,1010458.6182770182
2025-04-17T00:30:00.000+0000,999980.708738,999917.5073396,1012446.9384446403
2025-04-17T00:40:00.000+0000,999980.6947492,999917.5073396,1012852.6425672239
2025-04-17T00:50:00.000+0000,999980.71153576,999917.5073396,1013300.9221565523
2025-04-17T01:00:00.000+0000,999980.76229512,999917.5073396,1013658.8793264797
2025-04-17T01:10:00.000+0000,999980.88139976,999917.5073396,1016003.5062110677
2025-04-17T01:20:00.000+0000,999980.8726068,999917.5073396,1016136.4593088385
2025-04-17T01:30:00.000+0000,999980.87620392,999917.5073396,1016772.9161359672
2025-04-17T01:40:00.000+0000,999980.81225512,999917.5073396,1015509.9388407476
2025-04-17T01:50:00.000+0000,999980.75230312,999917.5073396,1014668.8448191265
2025-04-17T02:00:00.000+0000,999980.87700328,999917.5073396,1015376.9243706587
2025-04-17T02:10:00.000+0000,999980.74311048,999917.5073396,1012087.9560583781
2025-04-17T02:20:00.000+0000,999980.71033672,999917.5073396,1010801.9326595461
2025-04-17T02:30:00.000+0000,999980.8606164,999917.5073396,1012054.0207391029
2025-04-17T02:40:00.000+0000,999980.88020072,999917.5073396,1013143.830070904
2025-04-17T02:50:00.000+0000,999980.95414152,999917.5073396,1013605.0090287721
2025-04-17T03:00:00.000+0000,999981.02488488,999917.5073396,1014759.3453918837
2025-04-17T03:10:00.000+0000,999980.90617992,999917.5073396,1012492.285830999
2025-04-17T03:20:00.000+0000,999980.58363816,999917.5073396,1007150.827743995
2025-04-17T03:30:00.000+0000,999980.56525288,999917.5073396,1007326.4880010245
2025-04-17T03:40:00.000+0000,999980.63120008,999917.5073396,1007091.3591094584
2025-04-17T03:50:00.000+0000,999980.76749096,999917.5073396,1009265.9774281445
2025-04-17T04:00:00.000+0000,999980.75310248,999917.5073396,1009114.2151447105
2025-04-17T04:10:00.000+0000,999980.70633992,999917.5073396,1008761.0074895248
2025-04-17T04:20:00.000+0000,999980.72032872,999917.5073396,1009137.0434697451
2025-04-17T04:30:00.000+0000,999980.68915368,999917.5073396,1009265.4037088477
2025-04-17T04:40:00.000+0000,999980.68915368,999917.5073396,1009755.0992238319
2025-04-17T04:50:00.000+0000,999981.02808232,999917.5073396,1013880.3510190354
2025-04-17T05:00:00.000+0000,999981.02568424,999917.5073396,1014566.0387743679
2025-04-17T05:10:00.000+0000,999981.1443892,999917.5073396,1016403.1711755174
2025-04-17T05:20:00.000+0000,999981.23951304,999917.5073396,1018071.5290496263
2025-04-17T05:30:00.000+0000,999981.26469288,999917.5073396,1019366.4981289725
2025-04-17T05:40:00.000+0000,999981.45294216,999917.5073396,1023085.8657381926
2025-04-17T05:50:00.000+0000,999981.34183112,999917.5073396,1022590.0056005483
2025-04-17T06:00:00.000+0000,999981.3442292,999917.5073396,1022471.6405618333
2025-04-17T06:10:00.000+0000,999981.45693896,999917.5073396,1022517.5824843955
2025-04-17T06:20:00.000+0000,999981.57284616,999917.5073396,1024257.3435455526
2025-04-17T06:30:00.000+0000,999981.58443688,999917.5073396,1026785.6667942038
2025-04-17T06:40:00.000+0000,999981.49131144,999917.5073396,1028131.8815332858
2025-04-17T06:50:00.000+0000,999981.48451688,999917.5073396,1028782.2205947284
2025-04-17T07:00:00.000+0000,999981.42256648,999917.5073396,1026644.6407391804
2025-04-17T07:10:00.000+0000,999981.41936904,999917.5073396,1026215.3428923753
2025-04-17T07:20:00.000+0000,999981.53327784,999917.5073396,1027840.9861455618
2025-04-17T07:30:00.000+0000,999981.63559592,999917.5073396,1030650.0780943044
2025-04-17T07:40:00.000+0000,999981.50250248,999917.5073396,1027934.4101131663
2025-04-17T07:50:00.000+0000,999981.44774632,999917.5073396,1026626.5112741227
2025-04-17T08:00:00.000+0000,999981.49690696,999917.5073396,1027820.5800610562
2025-04-17T08:10:00.000+0000,999981.46852968,999917.5073396,1027657.5681316738
2025-04-17T08:20:00.000+0000,999981.39698696,999917.5073396,1026016.4145983297
2025-04-17T08:30:00.000+0000,999981.39099176,999917.5073396,1025599.7275016381
2025-04-17T08:40:00.000+0000,999981.35981672,999917.5073396,1024930.1199756673
2025-04-17T08:50:00.000+0000,999981.22472488,999917.5073396,1022567.7015197191
2025-04-17T09:00:00.000+0000,999981.0924308,999917.5073396,1020518.0564145015
2025-04-17T09:10:00.000+0000,999981.12000872,999917.5073396,1020480.7993778456
2025-04-17T09:20:00.000+0000,999981.14718696,999917.5073396,1021271.4618523852
2025-04-17T09:30:00.000+0000,999981.1403924,999917.5073396,1020997.6067115502
2025-04-17T09:40:00.000+0000,999981.24390952,999917.5073396,1023216.813591033
2025-04-17T09:50:00.000+0000,999981.1763636,999917.5073396,1022896.3725894152
2025-04-17T10:00:00.000+0000,999981.2115354401,999917.5073396,1022879.19041574
2025-04-17T10:10:00.000+0000,999981.01689128,999917.5073396,1019502.1050085747
2025-04-17T10:20:00.000+0000,999981.09722696,999917.5073396,1020515.7083261069
2025-04-17T10:30:00.000+0000,999981.12800232,999917.5073396,1020688.2406837074
2025-04-17T10:40:00.000+0000,999981.09203112,999917.5073396,1020350.7102720994
2025-04-17T10:50:00.000+0000,999981.12720296,999917.5073396,1020729.8804419127
2025-04-17T11:00:00.000+0000,999981.16517256,999917.5073396,1021950.6857194279
2025-04-17T11:10:00.000+0000,999981.028482,999917.5073396,1019141.2309161528
2025-04-17T11:20:00.000+0000,999981.1044212,999917.5073396,1020283.8881950343
2025-04-17T11:30:00.000+0000,999981.10322216,999917.5073396,1020909.9411949511
2025-04-17T11:40:00.000+0000,999981.19115176,999917.5073396,1022426.3274461715
2025-04-17T11:50:00.000+0000,999981.15558024,999917.5073396,1022240.8140249861
2025-04-17T12:00:00.000+0000,999981.1503844,999917.5073396,1022229.5615836801
2025-04-17T12:10:00.000+0000,999981.19315016,999917.5073396,1023436.9939596112
2025-04-17T12:20:00.000+0000,999981.33543624,999917.5073396,1026071.6562766267
2025-04-17T12:30:00.000+0000,999981.33383752,999917.5073396,1025612.0834125683
2025-04-17T12:40:00.000+0000,999981.3362356,999917.5073396,1026287.2875475131
2025-04-17T12:50:00.000+0000,999981.3981860001,999917.5073396,1026849.9328392602
2025-04-17T13:00:00.000+0000,999981.26589192,999917.5073396,1024044.1220524869
2025-04-17T13:10:00.000+0000,999981.11880968,999917.5073396,1022010.329543065
2025-04-17T13:20:00.000+0000,999981.19714696,999917.5073396,1022738.8633419955
2025-04-17T13:30:00.000+0000,999981.05326216,999917.5073396,1019956.380852177
2025-04-17T13:40:00.000+0000,999981.06685128,999917.5073396,1020307.6839683371
2025-04-17T13:50:00.000+0000,999981.10282248,999917.5073396,1020500.941802036
2025-04-17T14:00:00.000+0000,999980.85222312,999917.5073396,1014582.875247045
2025-04-17T14:10:00.000+0000,999980.62040872,999917.5073396,1012776.7010109351
2025-04-17T14:20:00.000+0000,999980.48171976,999917.5073396,1011526.7315098105
2025-04-17T14:30:00.000+0000,999980.05086472,999917.5073396,1007176.0115569113
2025-04-17T14:40:00.000+0000,999980.1711684,999917.5073396,1009363.6435805724
2025-04-17T14:50:00.000+0000,999980.20554088,999917.5073396,1010299.8028305166
2025-04-17T15:00:00.000+0000,999980.27628424,999917.5073396,1011823.9404389859
2025-04-17T15:10:00.000+0000,999980.6367956001,999917.5073396,1017103.1876720545
2025-04-17T15:20:00.000+0000,999980.588834,999917.5073396,1015626.7025977757
2025-04-17T15:30:00.000+0000,999980.65598024,999917.5073396,1017372.630082191
2025-04-17T15:40:00.000+0000,999980.7335181601,999917.5073396,1019247.1460601991
2025-04-17T15:50:00.000+0000,999980.71393384,999917.5073396,1020461.6097535533
2025-04-17T16:00:00.000+0000,999980.55246312,999917.5073396,1017563.2657249139
2025-04-17T16:10:00.000+0000,999980.8406324,999917.5073396,1021014.1105913823
2025-04-17T16:20:00.000+0000,999981.19994472,999917.5073396,1025533.7103422602
2025-04-17T16:30:00.000+0000,999981.54486856,999917.5073396,1029245.8272965224
2025-04-17T16:40:00.000+0000,999981.36341384,999917.5073396,1026535.4118499428
2025-04-17T16:50:00.000+0000,999981.52368552,999917.5073396,1027845.5527651742
2025-04-17T17:00:00.000+0000,999981.45773832,999917.5073396,1028135.5466083342
2025-04-17T17:10:00.000+0000,999981.62360552,999917.5073396,1030345.55936228
2025-04-17T17:20:00.000+0000,999981.5200884,999917.5073396,1029189.0139354808
2025-04-17T17:30:00.000+0000,999981.6100164,999917.5073396,1032341.8993905119
2025-04-17T17:40:00.000+0000,999981.62040808,999917.5073396,1031071.9264535327
2025-04-17T17:50:00.000+0000,999981.8198484,999917.5073396,1034069.6007075247
