date,total_balance_normal,unlocked_balance_normal,benchmark,total_balance_short_only,unlocked_balance_short_only,total_balance_long_only,unlocked_balance_long_only
2025-02-24T22:00:00.000+0000,998342.209932512,998342.209932512,999999.9999999999,1000000.0,1000000.0,998272.41167092,998272.41167092
2025-02-24T22:10:00.000+0000,997608.041665872,80631.87663251213,999999.9999999999,1000000.0,1000000.0,997507.3856984401,41989.94607092019
2025-02-24T22:20:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-24T22:30:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-24T22:40:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-24T22:50:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-24T23:00:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-24T23:10:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-24T23:20:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-24T23:30:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-24T23:40:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-24T23:50:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T00:00:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T00:10:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T00:20:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T00:30:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T00:40:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T00:50:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T01:00:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T01:10:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T01:20:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T01:30:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T01:40:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T01:50:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T02:00:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T02:10:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T02:20:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T02:30:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T02:40:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T02:50:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T03:00:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T03:10:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T03:20:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T03:30:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T03:40:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T03:50:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T04:00:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T04:10:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T04:20:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T04:30:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T04:40:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T04:50:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T05:00:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T05:10:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T05:20:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T05:30:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T05:40:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T05:50:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T06:00:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T06:10:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T06:20:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T06:30:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T06:40:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T06:50:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T07:00:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T07:10:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T07:20:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T07:30:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T07:40:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T07:50:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T08:00:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T08:10:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T08:20:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T08:30:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T08:40:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T08:50:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T09:00:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T09:10:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T09:20:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T09:30:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T09:40:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T09:50:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T10:00:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T10:10:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T10:20:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T10:30:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T10:40:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T10:50:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T11:00:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T11:10:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T11:20:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T11:30:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T11:40:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T11:50:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T12:00:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T12:10:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T12:20:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T12:30:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T12:40:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T12:50:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T13:00:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T13:10:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T13:20:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T13:30:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T13:40:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T13:50:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T14:00:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T14:10:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T14:20:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T14:30:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T14:40:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T14:50:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T15:00:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T15:10:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T15:20:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T15:30:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T15:40:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T15:50:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T16:00:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T16:10:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T16:20:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T16:30:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T16:40:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T16:50:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T17:00:00.000+0000,997608.041665872,997608.041665872,999999.9999999999,1000000.0,1000000.0,997507.3856984401,997507.3856984401
2025-02-25T17:10:00.000+0000,997368.5576372319,698253.005865872,999999.9999999999,999872.3397013282,840424.6266600002,997507.3856984401,997507.3856984401
2025-02-25T17:20:00.000+0000,997517.5004975438,997517.5004975438,999999.9999999999,999951.7357836078,999951.7357836078,997507.3856984401,997507.3856984401
2025-02-25T17:30:00.000+0000,997517.5004975438,997517.5004975438,999999.9999999999,999951.7357836078,999951.7357836078,997507.3856984401,997507.3856984401
2025-02-25T17:40:00.000+0000,997517.5004975438,997517.5004975438,999999.9999999999,999951.7357836078,999951.7357836078,997507.3856984401,997507.3856984401
2025-02-25T17:50:00.000+0000,997517.5004975438,997517.5004975438,999999.9999999999,999951.7357836078,999951.7357836078,997507.3856984401,997507.3856984401
2025-02-25T18:00:00.000+0000,997517.5004975438,997517.5004975438,999999.9999999999,999951.7357836078,999951.7357836078,997507.3856984401,997507.3856984401
2025-02-25T18:10:00.000+0000,997517.5004975438,997517.5004975438,999999.9999999999,999951.7357836078,999951.7357836078,997507.3856984401,997507.3856984401
2025-02-25T18:20:00.000+0000,997517.5004975438,997517.5004975438,999999.9999999999,999951.7357836078,999951.7357836078,997507.3856984401,997507.3856984401
2025-02-25T18:30:00.000+0000,997517.5004975438,997517.5004975438,999999.9999999999,999951.7357836078,999951.7357836078,997507.3856984401,997507.3856984401
2025-02-25T18:40:00.000+0000,997517.5004975438,997517.5004975438,999999.9999999999,999951.7357836078,999951.7357836078,997507.3856984401,997507.3856984401
2025-02-25T18:50:00.000+0000,997517.5004975438,997517.5004975438,999999.9999999999,999951.7357836078,999951.7357836078,997507.3856984401,997507.3856984401
2025-02-25T19:00:00.000+0000,995950.6949684235,7256.909067783666,999999.9999999999,998974.6080312881,388896.8591927282,997507.3856984401,997507.3856984401
2025-02-25T19:10:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-25T19:20:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-25T19:30:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-25T19:40:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-25T19:50:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-25T20:00:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-25T20:10:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-25T20:20:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-25T20:30:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-25T20:40:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-25T20:50:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-25T21:00:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-25T21:10:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-25T21:20:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-25T21:30:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-25T21:40:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-25T21:50:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-25T22:00:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-25T22:10:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-25T22:20:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-25T22:30:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-25T22:40:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-25T22:50:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-25T23:00:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-25T23:10:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-25T23:20:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-25T23:30:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-25T23:40:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-25T23:50:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-26T00:00:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-26T00:10:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-26T00:20:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-26T00:30:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-26T00:40:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-26T00:50:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-26T01:00:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-26T01:10:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-26T01:20:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-26T01:30:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-26T01:40:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-26T01:50:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-26T02:00:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-26T02:10:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-26T02:20:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-26T02:30:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-26T02:40:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-26T02:50:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-26T03:00:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-26T03:10:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-26T03:20:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-26T03:30:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-26T03:40:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-26T03:50:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
2025-02-26T04:00:00.000+0000,995950.6949684237,995950.6949684237,999999.9999999999,998974.6080312881,998974.6080312881,997507.3856984401,997507.3856984401
