date,total_balance_normal,unlocked_balance_normal,benchmark,total_balance_short_only,unlocked_balance_short_only,total_balance_long_only,unlocked_balance_long_only
2025-04-02T04:30:00.000+0000,1000000.0,1000000.0,999999.9999999999,1000000.0,1000000.0,1000000.0,1000000.0
2025-04-02T04:40:00.000+0000,999832.9088643998,791136.0804999998,999999.9999999999,1000000.0,1000000.0,999835.7484915997,794685.6144999997
2025-04-02T04:50:00.000+0000,999832.9088643998,791136.0804999998,999999.9999999999,1000000.0,1000000.0,999835.7484915997,794685.6144999997
2025-04-02T05:00:00.000+0000,999832.9088643998,791136.0804999998,999999.9999999999,1000000.0,1000000.0,999835.7484915997,794685.6144999997
2025-04-02T05:10:00.000+0000,999832.9088643998,791136.0804999998,999999.9999999999,1000000.0,1000000.0,999835.7484915997,794685.6144999997
2025-04-02T05:20:00.000+0000,999832.9088643998,791136.0804999998,999999.9999999999,1000000.0,1000000.0,999835.7484915997,794685.6144999997
2025-04-02T05:30:00.000+0000,999832.9088643998,791136.0804999998,999999.9999999999,1000000.0,1000000.0,999835.7484915997,794685.6144999997
2025-04-02T05:40:00.000+0000,999832.9088643998,791136.0804999998,999999.9999999999,1000000.0,1000000.0,999835.7484915997,794685.6144999997
2025-04-02T05:50:00.000+0000,999832.9088643998,791136.0804999998,999999.9999999999,1000000.0,1000000.0,999835.7484915997,794685.6144999997
2025-04-02T06:00:00.000+0000,999832.9088643998,791136.0804999998,999999.9999999999,1000000.0,1000000.0,999835.7484915997,794685.6144999997
2025-04-02T06:10:00.000+0000,999832.9088643998,791136.0804999998,999999.9999999999,1000000.0,1000000.0,999835.7484915997,794685.6144999997
2025-04-02T06:20:00.000+0000,999832.9088643998,791136.0804999998,999999.9999999999,1000000.0,1000000.0,999835.7484915997,794685.6144999997
2025-04-02T06:30:00.000+0000,999832.9088643998,791136.0804999998,999999.9999999999,1000000.0,1000000.0,999835.7484915997,794685.6144999997
2025-04-02T06:40:00.000+0000,999832.9088643998,791136.0804999998,999999.9999999999,1000000.0,1000000.0,999835.7484915997,794685.6144999997
