date,total_balance_normal,unlocked_balance_normal,benchmark,total_balance_short_only,unlocked_balance_short_only,total_balance_long_only,unlocked_balance_long_only
2025-03-19T23:50:00.000+0000,1000000.0,1000000.0,999999.9999999999,1000000.0,1000000.0,1000000.0,1000000.0
2025-03-20T00:00:00.000+0000,999347.8650636002,184831.32950000017,999999.9999999999,999674.0361000799,592545.1251,1000000.0,1000000.0
2025-03-20T00:10:00.000+0000,999347.8650636002,184831.32950000017,999999.9999999999,999674.0361000799,592545.1251,1000000.0,1000000.0
2025-03-20T00:20:00.000+0000,999347.8650636002,184831.32950000017,999999.9999999999,999674.0361000799,592545.1251,1000000.0,1000000.0
2025-03-20T00:30:00.000+0000,999347.8650636002,184831.32950000017,999999.9999999999,999674.0361000799,592545.1251,1000000.0,1000000.0
2025-03-20T00:40:00.000+0000,999347.8650636002,999347.8650636002,999999.9999999999,999674.03610008,999674.03610008,1000000.0,1000000.0
2025-03-20T00:50:00.000+0000,999347.8650636002,999347.8650636002,999999.9999999999,999674.03610008,999674.03610008,1000000.0,1000000.0
2025-03-20T01:00:00.000+0000,999347.8650636002,999347.8650636002,999999.9999999999,999674.03610008,999674.03610008,1000000.0,1000000.0
2025-03-20T01:10:00.000+0000,999347.8650636002,999347.8650636002,999999.9999999999,999674.03610008,999674.03610008,1000000.0,1000000.0
2025-03-20T01:20:00.000+0000,999347.8650636002,999347.8650636002,999999.9999999999,999674.03610008,999674.03610008,1000000.0,1000000.0
2025-03-20T01:30:00.000+0000,999347.8650636002,999347.8650636002,999999.9999999999,999674.03610008,999674.03610008,1000000.0,1000000.0
2025-03-20T01:40:00.000+0000,999347.8650636002,999347.8650636002,999999.9999999999,999674.03610008,999674.03610008,1000000.0,1000000.0
2025-03-20T01:50:00.000+0000,999347.8650636002,999347.8650636002,999999.9999999999,999674.03610008,999674.03610008,1000000.0,1000000.0
2025-03-20T02:00:00.000+0000,999347.8650636002,999347.8650636002,999999.9999999999,999674.03610008,999674.03610008,1000000.0,1000000.0
2025-03-20T02:10:00.000+0000,999347.8650636002,999347.8650636002,999999.9999999999,999674.03610008,999674.03610008,1000000.0,1000000.0
2025-03-20T02:20:00.000+0000,999347.8650636002,999347.8650636002,999999.9999999999,999674.03610008,999674.03610008,1000000.0,1000000.0
