date,total_balance_normal,unlocked_balance_normal,benchmark
2025-04-08T19:50:00.000+0000,1000000.0,1000000.0,997885.7492455717
2025-04-08T20:00:00.000+0000,999200.5164640001,739880.7184000001,996000.7609963602
2025-04-08T20:10:00.000+0000,999396.9695756802,739880.7184000001,997530.282806894
2025-04-08T20:20:00.000+0000,999454.1953583998,739880.7184000001,996825.0966539242
2025-04-08T20:30:00.000+0000,999454.1953583998,999454.1953583998,999344.9877562097
2025-04-08T20:40:00.000+0000,999454.1953583998,999454.1953583998,1004937.1578687406
2025-04-08T20:50:00.000+0000,999454.1953583998,999454.1953583998,1006648.9050331846
2025-04-08T21:00:00.000+0000,999454.1953583998,999454.1953583998,1004899.9057253478
2025-04-08T21:10:00.000+0000,999454.1953583998,999454.1953583998,1003702.6212469348
2025-04-08T21:20:00.000+0000,999454.1953583998,999454.1953583998,1003249.6362877632
2025-04-08T21:30:00.000+0000,999454.1953583998,999454.1953583998,1001186.5424875102
2025-04-08T21:40:00.000+0000,999454.1953583998,999454.1953583998,1006643.9694521513
2025-04-08T21:50:00.000+0000,999454.1953583998,999454.1953583998,1006694.6069810819
2025-04-08T22:00:00.000+0000,999454.1953583998,999454.1953583998,999954.1263283122
2025-04-08T22:10:00.000+0000,999454.1953583998,999454.1953583998,1001462.8274006702
2025-04-08T22:20:00.000+0000,999454.1953583998,999454.1953583998,997342.6097281629
2025-04-08T22:30:00.000+0000,999454.1953583998,999454.1953583998,993892.8777534368
2025-04-08T22:40:00.000+0000,999454.1953583998,999454.1953583998,995241.1923281327
2025-04-08T22:50:00.000+0000,999454.1953583998,999454.1953583998,998494.0532496204
2025-04-08T23:00:00.000+0000,999454.1953583998,999454.1953583998,999403.1563046502
2025-04-08T23:10:00.000+0000,999454.1953583998,999454.1953583998,997322.3115252445
2025-04-08T23:20:00.000+0000,999454.1953583998,999454.1953583998,999273.6625933317
2025-04-08T23:30:00.000+0000,999454.1953583998,999454.1953583998,1001272.3925384225
2025-04-08T23:40:00.000+0000,999454.1953583998,999454.1953583998,1001009.4004085513
2025-04-08T23:50:00.000+0000,999454.1953583998,999454.1953583998,1001385.5868377902
2025-04-09T00:00:00.000+0000,999454.1953583998,999454.1953583998,996270.8821688434
2025-04-09T00:10:00.000+0000,999454.1953583998,999454.1953583998,1001746.7052555886
2025-04-09T00:20:00.000+0000,999454.1953583998,999454.1953583998,1004171.5363182311
2025-04-09T00:30:00.000+0000,999454.1953583998,999454.1953583998,1001035.9621386349
2025-04-09T00:40:00.000+0000,999454.1953583998,999454.1953583998,998600.4569685055
2025-04-09T00:50:00.000+0000,999454.1953583998,999454.1953583998,996719.2159122704
2025-04-09T01:00:00.000+0000,999454.1953583998,999454.1953583998,988291.2760128151
2025-04-09T01:10:00.000+0000,999454.1953583998,999454.1953583998,973347.6512349839
2025-04-09T01:20:00.000+0000,999454.1953583998,999454.1953583998,962651.6815203798
2025-04-09T01:30:00.000+0000,999454.1953583998,999454.1953583998,966727.50015344
2025-04-09T01:40:00.000+0000,999454.1953583998,999454.1953583998,978031.511286801
2025-04-09T01:50:00.000+0000,999454.1953583998,999454.1953583998,985170.1004922546
2025-04-09T02:00:00.000+0000,999454.1953583998,999454.1953583998,991025.448143164
2025-04-09T02:10:00.000+0000,999454.1953583998,999454.1953583998,992567.0465745633
2025-04-09T02:20:00.000+0000,999454.1953583998,999454.1953583998,986425.7621910982
2025-04-09T02:30:00.000+0000,999454.1953583998,999454.1953583998,987078.9333055532
2025-04-09T02:40:00.000+0000,999454.1953583998,999454.1953583998,981780.51140998
2025-04-09T02:50:00.000+0000,999454.1953583998,999454.1953583998,980027.2335898539
2025-04-09T03:00:00.000+0000,999454.1953583998,999454.1953583998,977762.6863983632
2025-04-09T03:10:00.000+0000,999454.1953583998,999454.1953583998,979811.4872908244
2025-04-09T03:20:00.000+0000,999454.1953583998,999454.1953583998,977372.597374515
2025-04-09T03:30:00.000+0000,999454.1953583998,999454.1953583998,977562.5590198182
2025-04-09T03:40:00.000+0000,999454.1953583998,999454.1953583998,973372.0143082755
2025-04-09T03:50:00.000+0000,999454.1953583998,999454.1953583998,976324.5532756515
2025-04-09T04:00:00.000+0000,999454.1953583998,999454.1953583998,975937.3873414178
2025-04-09T04:10:00.000+0000,999454.1953583998,999454.1953583998,980995.5448232491
2025-04-09T04:20:00.000+0000,999454.1953583998,999454.1953583998,981715.288185436
2025-04-09T04:30:00.000+0000,999454.1953583998,999454.1953583998,985059.7911989104
2025-04-09T04:40:00.000+0000,999454.1953583998,999454.1953583998,993961.0892924301
2025-04-09T04:50:00.000+0000,999454.1953583998,999454.1953583998,992961.2642642427
2025-04-09T05:00:00.000+0000,999454.1953583998,999454.1953583998,992857.6266604809
2025-04-09T05:10:00.000+0000,999454.1953583998,999454.1953583998,996531.4812150503
2025-04-09T05:20:00.000+0000,999454.1953583998,999454.1953583998,998257.3160923319
2025-04-09T05:30:00.000+0000,999454.1953583998,999454.1953583998,997771.0765295802
2025-04-09T05:40:00.000+0000,999454.1953583998,999454.1953583998,996890.1309702899
2025-04-09T05:50:00.000+0000,999454.1953583998,999454.1953583998,998174.3243015428
2025-04-09T06:00:00.000+0000,999454.1953583998,999454.1953583998,1000367.0260301181
2025-04-09T06:10:00.000+0000,999454.1953583998,999454.1953583998,1005593.5059339728
2025-04-09T06:20:00.000+0000,999454.1953583998,999454.1953583998,1002645.835462512
2025-04-09T06:30:00.000+0000,999454.1953583998,999454.1953583998,1002329.386799979
2025-04-09T06:40:00.000+0000,999454.1953583998,999454.1953583998,1002802.5193944261
2025-04-09T06:50:00.000+0000,999454.1953583998,999454.1953583998,1001558.1120190092
2025-04-09T07:00:00.000+0000,999454.1953583998,999454.1953583998,1002435.5598010282
2025-04-09T07:10:00.000+0000,999454.1953583998,999454.1953583998,1010776.4044667582
2025-04-09T07:20:00.000+0000,999454.1953583998,999454.1953583998,1009893.8971770832
2025-04-09T07:30:00.000+0000,999454.1953583998,999454.1953583998,1014998.6558657077
2025-04-09T07:40:00.000+0000,999454.1953583998,999454.1953583998,1016356.3689887176
2025-04-09T07:50:00.000+0000,999454.1953583998,999454.1953583998,1015202.9548606335
2025-04-09T08:00:00.000+0000,999454.1953583998,999454.1953583998,1012037.5487384635
2025-04-09T08:10:00.000+0000,999454.1953583998,999454.1953583998,1010723.5444744716
2025-04-09T08:20:00.000+0000,999454.1953583998,999454.1953583998,1012724.1028680331
2025-04-09T08:30:00.000+0000,999454.1953583998,999454.1953583998,1009193.1992124952
2025-04-09T08:40:00.000+0000,999454.1953583998,999454.1953583998,1009146.056244333
2025-04-09T08:50:00.000+0000,999454.1953583998,999454.1953583998,1010199.3654766469
2025-04-09T09:00:00.000+0000,999454.1953583998,999454.1953583998,1013027.0159481817
2025-04-09T09:10:00.000+0000,999454.1953583998,999454.1953583998,1010929.6153198268
2025-04-09T09:20:00.000+0000,999454.1953583998,999454.1953583998,1009264.9814982349
2025-04-09T09:30:00.000+0000,999454.1953583998,999454.1953583998,1007519.2542556261
2025-04-09T09:40:00.000+0000,999454.1953583998,999454.1953583998,1009436.9204125556
2025-04-09T09:50:00.000+0000,999454.1953583998,999454.1953583998,1011217.8885305263
2025-04-09T10:00:00.000+0000,999454.1953583998,999454.1953583998,1009118.5510403533
2025-04-09T10:10:00.000+0000,999454.1953583998,999454.1953583998,1011192.1645100492
2025-04-09T10:20:00.000+0000,999454.1953583998,999454.1953583998,1010098.2700630912
2025-04-09T10:30:00.000+0000,999454.1953583998,999454.1953583998,1006611.8278580365
2025-04-09T10:40:00.000+0000,999454.1953583998,999454.1953583998,1008304.2872043112
2025-04-09T10:50:00.000+0000,999454.1953583998,999454.1953583998,1012366.4964464001
2025-04-09T11:00:00.000+0000,999454.1953583998,999454.1953583998,993174.7647166469
2025-04-09T11:10:00.000+0000,999454.1953583998,999454.1953583998,995240.4902968619
2025-04-09T11:20:00.000+0000,999454.1953583998,999454.1953583998,993961.6535380308
2025-04-09T11:30:00.000+0000,999454.1953583998,999454.1953583998,987065.9948332179
2025-04-09T11:40:00.000+0000,999454.1953583998,999454.1953583998,985341.0222515425
2025-04-09T11:50:00.000+0000,999454.1953583998,999454.1953583998,989699.0273181264
2025-04-09T12:00:00.000+0000,999454.1953583998,999454.1953583998,988378.6379309236
2025-04-09T12:10:00.000+0000,999454.1953583998,999454.1953583998,991656.1605677675
2025-04-09T12:20:00.000+0000,999454.1953583998,999454.1953583998,987843.5743345872
2025-04-09T12:30:00.000+0000,999454.1953583998,999454.1953583998,984566.6667282055
2025-04-09T12:40:00.000+0000,999454.1953583998,999454.1953583998,988424.5750813832
2025-04-09T12:50:00.000+0000,999454.1953583998,999454.1953583998,997073.0862613107
2025-04-09T13:00:00.000+0000,999454.1953583998,999454.1953583998,997603.5579674745
2025-04-09T13:10:00.000+0000,999454.1953583998,999454.1953583998,997168.7820414479
2025-04-09T13:20:00.000+0000,999454.1953583998,999454.1953583998,994540.3912407673
2025-04-09T13:30:00.000+0000,999454.1953583998,999454.1953583998,998626.7535485288
2025-04-09T13:40:00.000+0000,999454.1953583998,999454.1953583998,1006101.3828355427
2025-04-09T13:50:00.000+0000,999454.1953583998,999454.1953583998,1009803.1606873921
2025-04-09T14:00:00.000+0000,997572.8389924793,49.16445839904412,1009930.6587900836
2025-04-09T14:10:00.000+0000,1002165.5857533594,205.98670015913598,1007994.6185848478
2025-04-09T14:20:00.000+0000,1002305.1139414393,205.98670015913598,1011912.7729854132
2025-04-09T14:30:00.000+0000,1000504.0482475992,205.98670015913598,1012995.9577140424
2025-04-09T14:40:00.000+0000,1004010.174001279,205.98670015913598,1009673.176220645
2025-04-09T14:50:00.000+0000,1008024.4895775996,205.98670015913598,1005031.6740375163
2025-04-09T15:00:00.000+0000,1006800.7377628792,205.98670015913598,1007093.9879513863
2025-04-09T15:10:00.000+0000,1003569.8281599995,205.98670015913598,1011322.9311897997
2025-04-09T15:20:00.000+0000,1004986.8713178394,205.98670015913598,1013769.3737574432
2025-04-09T15:30:00.000+0000,1004641.251035439,205.98670015913598,1010120.2202138908
2025-04-09T15:40:00.000+0000,1005373.4540040793,205.98670015913598,1009460.6196412535
2025-04-09T15:50:00.000+0000,1006320.709592879,205.98670015913598,1010746.2869920309
2025-04-09T16:00:00.000+0000,1005128.9596561592,205.98670015913598,1010886.5090035342
2025-04-09T16:10:00.000+0000,1000926.4730371992,205.98670015913598,1015644.4420304571
2025-04-09T16:20:00.000+0000,1002535.5274630393,205.98670015913598,1015235.5707657707
2025-04-09T16:30:00.000+0000,999800.0069315991,205.98670015913598,1015979.3830777977
2025-04-09T16:40:00.000+0000,998880.9129954395,205.98670015913598,1018610.6145570755
2025-04-09T16:50:00.000+0000,994551.6989395993,205.98670015913598,1021097.260100369
2025-04-09T17:00:00.000+0000,989103.6992288791,205.98670015913598,1025817.9166863835
2025-04-09T17:10:00.000+0000,986700.9982286395,205.98670015913598,1018940.0182525485
2025-04-09T17:20:00.000+0000,959960.2289718392,205.98670015913598,1039577.9881790578
2025-04-09T17:30:00.000+0000,952103.1278852794,205.98670015913598,1078699.4677166783
2025-04-09T17:40:00.000+0000,952327.1410312795,205.98670015913598,1081749.4023474546
2025-04-09T17:50:00.000+0000,949135.2341012796,205.98670015913598,1091028.2524801628
2025-04-09T18:00:00.000+0000,949161.7580651194,355733.0775079993,1099016.477056636
2025-04-09T18:10:00.000+0000,945242.6414686395,355733.0775079993,1104119.0257977776
2025-04-09T18:20:00.000+0000,943468.7509172796,355733.0775079993,1114826.1874285447
2025-04-09T18:30:00.000+0000,944996.6919857594,355733.0775079993,1112521.24858185
2025-04-09T18:40:00.000+0000,944922.7463895995,355733.0775079993,1102298.4411377748
2025-04-09T18:50:00.000+0000,948974.4828052793,355733.0775079993,1099556.85369781
2025-04-09T19:00:00.000+0000,950550.6492625596,355733.0775079993,1100579.2673936149
2025-04-09T19:10:00.000+0000,947801.8021009597,355733.0775079993,1104903.487127386
2025-04-09T19:20:00.000+0000,946727.1796871994,355733.0775079993,1109695.8346932519
2025-04-09T19:30:00.000+0000,946483.6414737597,355733.0775079993,1108103.2364171639
2025-04-09T19:40:00.000+0000,947764.0255463994,355733.0775079993,1106707.7404946857
2025-04-09T19:50:00.000+0000,947177.2833159994,355733.0775079993,1107325.8936395682
2025-04-09T20:00:00.000+0000,947689.2761937594,355733.0775079993,1109371.503802538
2025-04-09T20:10:00.000+0000,948875.6207582396,355733.0775079993,1110276.6486808213
2025-04-09T20:20:00.000+0000,948706.8318974392,355733.0775079993,1108095.857870534
2025-04-09T20:30:00.000+0000,947352.3115812789,526071.8090187189,1108574.5548119645
2025-04-09T20:40:00.000+0000,946026.0630295989,526071.8090187189,1111892.5092913501
2025-04-09T20:50:00.000+0000,943571.2996126389,526071.8090187189,1114675.1469707228
2025-04-09T21:00:00.000+0000,942697.259404639,526071.8090187189,1117817.7791928267
2025-04-09T21:10:00.000+0000,941694.835585759,526071.8090187189,1120710.7389361984
2025-04-09T21:20:00.000+0000,941556.708575839,526071.8090187189,1119538.1079211005
2025-04-09T21:30:00.000+0000,943378.7241963188,526071.8090187189,1114721.4857982127
2025-04-09T21:40:00.000+0000,943748.9733598391,526071.8090187189,1116544.8449790531
2025-04-09T21:50:00.000+0000,942935.6861105589,526071.8090187189,1118808.3158245657
2025-04-09T22:00:00.000+0000,942212.3820171187,526071.8090187189,1120000.9294786404
2025-04-09T22:10:00.000+0000,942234.734520799,526071.8090187189,1122499.5508634606
2025-04-09T22:20:00.000+0000,942221.552275039,526071.8090187189,1122929.4567667937
2025-04-09T22:30:00.000+0000,942259.379588959,526071.8090187189,1121830.5486608173
2025-04-09T22:40:00.000+0000,943975.9372433589,526071.8090187189,1119144.4000275633
2025-04-09T22:50:00.000+0000,944239.582158559,526071.8090187189,1118679.079912282
2025-04-09T23:00:00.000+0000,943756.997335519,526071.8090187189,1117602.413319323
2025-04-09T23:10:00.000+0000,943884.8078052788,526071.8090187189,1114028.2169741518
2025-04-09T23:20:00.000+0000,945119.9269188789,526071.8090187189,1112814.5238331228
2025-04-09T23:30:00.000+0000,945446.044216159,526071.8090187189,1114197.7801184405
2025-04-09T23:40:00.000+0000,945791.6483115188,526071.8090187189,1115448.2625567964
2025-04-09T23:50:00.000+0000,946644.482298079,526071.8090187189,1115088.1034372891
2025-04-10T00:00:00.000+0000,946113.180479839,526071.8090187189,1113137.2936453715
2025-04-10T00:10:00.000+0000,946881.1895806391,526071.8090187189,1111180.5159298875
2025-04-10T00:20:00.000+0000,947790.7645380788,526071.8090187189,1109802.5385754132
2025-04-10T00:30:00.000+0000,947792.4839614389,526071.8090187189,1104368.1468580863
2025-04-10T00:40:00.000+0000,948966.2769751989,526071.8090187189,1100332.1765113815
2025-04-10T00:50:00.000+0000,948358.747387999,526071.8090187189,1100684.7821965306
2025-04-10T01:00:00.000+0000,947723.1338859189,526071.8090187189,1105394.8152126174
2025-04-10T01:10:00.000+0000,947014.1583204789,526071.8090187189,1104502.6002193294
2025-04-10T01:20:00.000+0000,947155.7241771189,526071.8090187189,1102355.8553808457
2025-04-10T01:30:00.000+0000,947835.469545439,526071.8090187189,1098681.4622889555
2025-04-10T01:40:00.000+0000,947701.3545233591,526071.8090187189,1101151.2186652962
2025-04-10T01:50:00.000+0000,947942.6469348788,526071.8090187189,1101372.2208509715
